session_id,user_id,timestamp,traffic_source,device,pageviews,session_duration_seconds,bounce,conversion,events_count
sess_13707,user_3802,2024-01-01 00:21:00,paid,tablet,7,320.91953216880864,1,0,4
sess_19109,user_573,2024-01-01 00:35:00,organic,mobile,5,82.94650268709827,0,0,2
sess_5701,user_2650,2024-01-01 01:19:00,organic,desktop,6,392.83899039088755,0,0,0
sess_6227,user_2615,2024-01-01 01:43:00,organic,desktop,4,267.6803008783312,0,0,5
sess_14467,user_775,2024-01-01 01:49:00,direct,desktop,4,269.0261107434451,0,0,2
sess_12404,user_2263,2024-01-01 02:00:00,organic,mobile,6,410.16002812778606,0,0,2
sess_16139,user_2619,2024-01-01 03:12:00,paid,desktop,4,134.61895977106192,1,0,1
sess_4776,user_929,2024-01-01 03:33:00,referral,mobile,3,373.93447719614846,0,0,3
sess_688,user_1443,2024-01-01 04:01:00,organic,tablet,3,126.82696947515429,0,0,5
sess_16559,user_2226,2024-01-01 04:10:00,direct,desktop,7,870.8898662895057,1,0,3
sess_18853,user_3741,2024-01-01 04:24:00,organic,desktop,3,47.17663943715139,0,0,1
sess_1384,user_2793,2024-01-01 04:31:00,organic,desktop,6,448.4326315118306,1,0,2
sess_17578,user_1585,2024-01-01 04:53:00,direct,mobile,7,172.1899561138688,1,0,5
sess_10726,user_3512,2024-01-01 05:13:00,direct,desktop,7,153.0264026629627,0,0,1
sess_2840,user_1819,2024-01-01 05:45:00,social,desktop,5,733.5019586101293,0,0,0
sess_1148,user_1154,2024-01-01 06:02:00,social,desktop,5,29.696992063745974,0,0,3
sess_13357,user_1144,2024-01-01 07:07:00,organic,desktop,6,164.9610840055559,0,0,3
sess_3392,user_2581,2024-01-01 08:05:00,social,mobile,1,66.9974973380348,1,0,1
sess_13046,user_3304,2024-01-01 08:18:00,direct,mobile,4,652.3881231269636,0,0,3
sess_5913,user_4266,2024-01-01 08:23:00,social,mobile,7,262.7146924028776,0,0,1
sess_4576,user_1281,2024-01-01 08:46:00,paid,mobile,5,618.9527310017742,0,0,4
sess_9355,user_1472,2024-01-01 08:48:00,social,mobile,6,1155.2998821530693,1,0,4
sess_15757,user_2645,2024-01-01 08:52:00,social,desktop,5,354.8185004474568,0,0,3
sess_7384,user_349,2024-01-01 09:18:00,referral,desktop,5,106.90609318830616,0,0,1
sess_3089,user_4638,2024-01-01 09:30:00,paid,mobile,9,364.1770017074503,1,0,2
sess_5143,user_1447,2024-01-01 09:34:00,direct,desktop,7,28.13656543611122,1,0,2
